time_ms,frame_time_ms,source_fps,latency_ms,new_frame,video_w,video_h,bitrate_mbps,total_frames,dropped_frames,audio_queue,audio_underruns
60438.880,3.944,57.1,11.924,1,498,1080,0.18,847,0,0,0
60452.663,1.060,41.4,0.000,0,498,1080,0.05,848,0,0,0
60472.087,3.818,41.4,12.693,1,498,1080,0.05,849,0,0,0
60486.253,1.316,41.4,0.000,0,498,1080,0.05,850,0,0,0
60504.038,2.434,41.4,10.219,1,498,1080,0.05,851,0,0,0
60523.431,5.160,41.4,13.804,1,498,1080,0.05,852,0,0,0
60536.823,1.885,41.4,0.000,0,498,1080,0.05,853,0,0,0
60555.418,3.812,41.4,12.632,1,498,1080,0.05,854,0,0,0
60569.630,1.356,41.4,0.000,0,498,1080,0.05,855,0,0,0
60587.779,2.837,41.4,11.682,1,498,1080,0.05,856,0,0,0
60602.912,1.303,41.4,0.000,0,498,1080,0.05,857,0,0,0
60623.951,5.674,41.4,13.829,1,498,1080,0.05,858,0,0,0
60637.045,2.101,41.4,0.000,0,498,1080,0.05,859,0,0,0
60684.670,33.058,41.4,41.883,1,498,1080,0.05,861,0,0,0
60685.460,0.766,41.4,0.000,0,498,1080,0.05,862,0,0,0
60706.084,4.722,41.4,11.194,1,498,1080,0.05,863,0,0,0
60718.881,0.853,41.4,0.000,0,498,1080,0.05,864,0,0,0
60738.845,4.150,41.4,10.786,1,498,1080,0.05,865,0,0,0
60752.421,1.058,41.4,0.000,0,498,1080,0.05,866,0,0,0
60773.032,5.002,41.4,13.157,1,498,1080,0.05,867,0,0,0
60787.175,1.430,41.4,0.000,0,498,1080,0.05,868,0,0,0
60805.119,2.707,41.4,11.724,1,498,1080,0.05,869,0,0,0
60823.947,4.867,41.4,14.275,1,498,1080,0.05,870,0,0,0
60836.727,0.980,41.4,0.000,0,498,1080,0.05,871,0,0,0
60857.902,5.487,41.4,15.223,1,498,1080,0.05,872,0,0,0
60872.121,3.036,41.4,0.000,0,498,1080,0.05,873,0,0,0
60890.986,5.234,41.4,13.690,1,498,1080,0.05,874,0,0,0
60905.177,2.757,41.4,0.000,0,498,1080,0.05,875,0,0,0
60924.353,5.187,41.4,13.588,1,498,1080,0.05,876,0,0,0
60937.461,1.628,41.4,0.000,0,498,1080,0.05,877,0,0,0
60956.824,4.323,41.4,13.079,1,498,1080,0.05,878,0,0,0
60971.296,2.128,41.4,0.000,0,498,1080,0.05,879,0,0,0
60993.132,7.291,41.4,15.686,1,498,1080,0.05,880,0,0,0
61006.265,3.757,41.4,0.000,0,498,1080,0.05,881,0,0,0
61025.453,6.277,41.4,13.336,1,498,1080,0.05,882,0,0,0
61037.638,1.796,41.4,0.000,0,498,1080,0.05,883,0,0,0
61061.858,9.348,41.4,17.089,1,498,1080,0.05,885,0,0,0
61070.542,1.365,41.4,0.000,0,498,1080,0.05,885,0,0,0
61091.627,5.783,41.4,14.758,1,498,1080,0.05,886,0,0,0
61104.462,1.950,41.4,0.000,0,498,1080,0.05,887,0,0,0
